id,vege_name,recipe,食譜網址來源,image_path
454884,九層塔,九層塔香蒜奶油抹醬,https://icook.tw/recipes/454884,九層塔/454884_九層塔香蒜奶油抹醬.jpg
460562,九層塔,茄子也可以好看又少油！｜涼拌九層塔茄子,https://icook.tw/recipes/460562,九層塔/460562_茄子也可以好看又少油！｜涼拌九層塔茄子.jpg
445241,九層塔,九層塔蚵仔湯,https://icook.tw/recipes/445241,九層塔/445241_九層塔蚵仔湯.jpg
449539,九層塔,蒜香九層塔香吳郭魚,https://icook.tw/recipes/449539,九層塔/449539_蒜香九層塔香吳郭魚.jpg
478783,冬瓜,紅燒冬瓜,https://icook.tw/recipes/478783,冬瓜/478783_紅燒冬瓜.jpg
476317,冬瓜,冬瓜仙草,https://icook.tw/recipes/476317,冬瓜/476317_冬瓜仙草.jpg
478999,冬瓜,醬燒冬瓜,https://icook.tw/recipes/478999,冬瓜/478999_醬燒冬瓜.jpg
478582,冬瓜,冬瓜排骨蛤蠣湯,https://icook.tw/recipes/478582,冬瓜/478582_冬瓜排骨蛤蠣湯.jpg
476451,冬瓜,冬瓜排骨湯,https://icook.tw/recipes/476451,冬瓜/476451_冬瓜排骨湯.jpg
467984,冬瓜,香菇清蒸滷冬瓜,https://icook.tw/recipes/467984,冬瓜/467984_香菇清蒸滷冬瓜.jpg
466517,冬瓜,冬瓜肝連湯,https://icook.tw/recipes/466517,冬瓜/466517_冬瓜肝連湯.jpg
187769,冬瓜,煎釀油豆腐煑冬瓜,https://icook.tw/recipes/187769,冬瓜/187769_煎釀油豆腐煑冬瓜.jpg
474135,冬瓜,冬瓜蛤鮮味湯,https://icook.tw/recipes/474135,冬瓜/474135_冬瓜蛤鮮味湯.jpg
474677,冬瓜,冬瓜蛤蠣排骨湯,https://icook.tw/recipes/474677,冬瓜/474677_冬瓜蛤蠣排骨湯.jpg
477994,冬瓜,荷葉冬瓜排骨湯(燜燒鍋版),https://icook.tw/recipes/477994,冬瓜/477994_荷葉冬瓜排骨湯(燜燒鍋版).jpg
479463,冬瓜,DIY古早味黑糖冬瓜蜜,https://icook.tw/recipes/479463,冬瓜/479463_DIY古早味黑糖冬瓜蜜.jpg
471099,冬瓜,蝦米冬瓜麵,https://icook.tw/recipes/471099,冬瓜/471099_蝦米冬瓜麵.jpg
472801,冬瓜,黑糖冬瓜糖塊,https://icook.tw/recipes/472801,冬瓜/472801_黑糖冬瓜糖塊.jpg
471942,冬瓜,冬瓜排骨酥湯,https://icook.tw/recipes/471942,冬瓜/471942_冬瓜排骨酥湯.jpg
466325,冬瓜,冬瓜盅,https://icook.tw/recipes/466325,冬瓜/466325_冬瓜盅.jpg
477202,冬瓜,奇亞籽蜂蜜醋拌冬瓜,https://icook.tw/recipes/477202,冬瓜/477202_奇亞籽蜂蜜醋拌冬瓜.jpg
472020,冬瓜,#276 蛤蜊冬瓜雞湯,https://icook.tw/recipes/472020,冬瓜/472020_#276_蛤蜊冬瓜雞湯.jpg
467657,冬瓜,清燉肉燥冬瓜,https://icook.tw/recipes/467657,冬瓜/467657_清燉肉燥冬瓜.jpg
460029,冬瓜,冬瓜湯,https://icook.tw/recipes/460029,冬瓜/460029_冬瓜湯.jpg
470966,冬瓜,冬瓜果凍拿鐵咖啡☕️,https://icook.tw/recipes/470966,冬瓜/470966_冬瓜果凍拿鐵咖啡☕️.jpg
463444,冬瓜,冬瓜薑雞湯,https://icook.tw/recipes/463444,冬瓜/463444_冬瓜薑雞湯.jpg
468453,冬瓜,雞肉蕈菇蒸冬瓜,https://icook.tw/recipes/468453,冬瓜/468453_雞肉蕈菇蒸冬瓜.jpg
458401,冬瓜,冬瓜蛤蜊湯,https://icook.tw/recipes/458401,冬瓜/458401_冬瓜蛤蜊湯.jpg
461272,冬瓜,香滷冬瓜,https://icook.tw/recipes/461272,冬瓜/461272_香滷冬瓜.jpg
461452,冬瓜,腐乳燒冬瓜,https://icook.tw/recipes/461452,冬瓜/461452_腐乳燒冬瓜.jpg
464635,冬瓜,蝦皮冬瓜湯,https://icook.tw/recipes/464635,冬瓜/464635_蝦皮冬瓜湯.jpg
463523,冬瓜,冬瓜薏仁肉片湯,https://icook.tw/recipes/463523,冬瓜/463523_冬瓜薏仁肉片湯.jpg
464677,冬瓜,菜脯燒冬瓜,https://icook.tw/recipes/464677,冬瓜/464677_菜脯燒冬瓜.jpg
459512,冬瓜,冬瓜肉捲,https://icook.tw/recipes/459512,冬瓜/459512_冬瓜肉捲.jpg
463145,冬瓜,豆豉香菇燒冬瓜,https://icook.tw/recipes/463145,冬瓜/463145_豆豉香菇燒冬瓜.jpg
467123,冬瓜,冬瓜玉米肝連肉湯,https://icook.tw/recipes/467123,冬瓜/467123_冬瓜玉米肝連肉湯.jpg
461790,冬瓜,剝皮辣椒冬瓜雞湯/煮/零廚藝,https://icook.tw/recipes/461790,冬瓜/461790_剝皮辣椒冬瓜雞湯_煮_零廚藝.jpg
462080,冬瓜,冬瓜蘋果心太軟,https://icook.tw/recipes/462080,冬瓜/462080_冬瓜蘋果心太軟.jpg
458513,冬瓜,薑絲冬瓜排骨湯,https://icook.tw/recipes/458513,冬瓜/458513_薑絲冬瓜排骨湯.jpg
466733,冬瓜,翡翠冬瓜蜜｜Vitamix調理機,https://icook.tw/recipes/466733,冬瓜/466733_翡翠冬瓜蜜｜Vitamix調理機.jpg
458877,冬瓜,冬瓜燒松阪豬肉,https://icook.tw/recipes/458877,冬瓜/458877_冬瓜燒松阪豬肉.jpg
463697,冬瓜,[一鍋到底] 冬瓜燒肉,https://icook.tw/recipes/463697,冬瓜/463697_[一鍋到底]_冬瓜燒肉.jpg
452463,冬瓜,冬瓜滷,https://icook.tw/recipes/452463,冬瓜/452463_冬瓜滷.jpg
461876,冬瓜,冬瓜蓮子薏仁排骨湯,https://icook.tw/recipes/461876,冬瓜/461876_冬瓜蓮子薏仁排骨湯.jpg
458781,冬瓜,薑絲蠔油燒冬瓜,https://icook.tw/recipes/458781,冬瓜/458781_薑絲蠔油燒冬瓜.jpg
460460,冬瓜,蝦、肉丸冬瓜湯麵缐,https://icook.tw/recipes/460460,冬瓜/460460_蝦、肉丸冬瓜湯麵缐.jpg
462251,冬瓜,黑糖冬瓜糖露 (減糖),https://icook.tw/recipes/462251,冬瓜/462251_黑糖冬瓜糖露_(減糖).jpg
468160,冬瓜,減脂餐2~冬瓜木耳蕃茄雞蛋湯,https://icook.tw/recipes/468160,冬瓜/468160_減脂餐2~冬瓜木耳蕃茄雞蛋湯.jpg
448809,冬瓜,滷冬瓜,https://icook.tw/recipes/448809,冬瓜/448809_滷冬瓜.jpg
479557,南瓜,南瓜布丁,https://icook.tw/recipes/479557,南瓜/479557_南瓜布丁.jpg
478985,南瓜,南瓜麵線 (南瓜簡單吃懶人包),https://icook.tw/recipes/478985,南瓜/478985_南瓜麵線_(南瓜簡單吃懶人包).jpg
478143,南瓜,南瓜沙拉,https://icook.tw/recipes/478143,南瓜/478143_南瓜沙拉.jpg
478036,南瓜,南瓜小米粥,https://icook.tw/recipes/478036,南瓜/478036_南瓜小米粥.jpg
478970,南瓜,南瓜濃湯,https://icook.tw/recipes/478970,南瓜/478970_南瓜濃湯.jpg
477973,南瓜,~南瓜濃湯~,https://icook.tw/recipes/477973,南瓜/477973_~南瓜濃湯~.jpg
478300,南瓜,南瓜梅花肉,https://icook.tw/recipes/478300,南瓜/478300_南瓜梅花肉.jpg
476135,南瓜,南瓜饅頭,https://icook.tw/recipes/476135,南瓜/476135_南瓜饅頭.jpg
477732,南瓜,蒜香金沙栗子南瓜、烤南瓜子,https://icook.tw/recipes/477732,南瓜/477732_蒜香金沙栗子南瓜、烤南瓜子.jpg
479210,南瓜,清爽版南瓜濃湯,https://icook.tw/recipes/479210,南瓜/479210_清爽版南瓜濃湯.jpg
477071,南瓜,南瓜布蕾,https://icook.tw/recipes/477071,南瓜/477071_南瓜布蕾.jpg
